Rank,Name,Team,Position,Salary
400,Garnet Hathaway,PHI,RW,2375000
401,MacKenzie Blackwood,SJS,G,2350000
402,Jake Bean,CBJ,D,2333333
403,Alexis Lafrenière,NYR,LW,2325000
404,Jamie Drysdale,PHI,D,2300000
,Trent Frederic,BOS,C,2300000
406,Nicolas Hague,VGK,D,2294150
407,Evgenii Dadonov,DAL,LW,2250000
,Oliver Ekman-Larsson,FLA,D,2250000
,Philipp Kurashev,CHI,C,2250000
410,Daniel Vladar,CGY,G,2200000
411,Mason Appleton,WPG,C,2166666
412,Calle Jarnkrok,TOR,C,2100000
,Frederick Gaudreau,MIN,C,2100000
,Kaapo Kakko,NYR,RW,2100000
,Morgan Frost,PHI,C,2100000
,Nick Bjugstad,ARI,C,2100000
,Ryan McLeod,EDM,C,2100000
418,Ethan Bear,WAS,D,2062500
419,Alex Goligoski,MIN,D,2000000
,Conor Sheary,TBL,LW,2000000
,Daniel Sprong,DET,RW,2000000
,Erik Brannstrom,OTT,D,2000000
,Jeremy Lauzon,NSH,D,2000000
,Kevin Lankinen,NSH,G,2000000
,Klim Kostin,SJS,RW,2000000
,Marcus Johansson,MIN,C,2000000
,Max Pacioretty,WAS,LW,2000000
,Morgan Geekie,BOS,C,2000000
,Nico Sturm,SJS,C,2000000
,Noel Acciari,PIT,C,2000000
,Pavel Francouz,COL,G,2000000
,Pyotr Kochetkov,CAR,G,2000000
,Ryan Donato,CHI,C,2000000
,Tyson Jost,BUF,C,2000000
,Vladislav Namestnikov,WPG,C,2000000
436,Sean Monahan,WPG,C,1985000
437,Connor Ingram,ARI,G,1950000
438,Brett Howden,VGK,C,1900000
,Sonny Milano,WAS,LW,1900000
,Theodor Blueger,VAN,C,1900000
441,Colin Miller,WPG,D,1850000
,Jacob Bryson,BUF,D,1850000
443,Casey DeSmith,VAN,G,1800000
,Eric Comrie,BUF,G,1800000
,Isac Lundestrom,ANA,C,1800000
,Jordan Martinook,CAR,LW,1800000
447,Barrett Hayton,ARI,C,1775000
